orgnr,wikidata_item,wikidata_label
2120002494,http://www.wikidata.org/entity/Q271153,Åre kommun
2120002502,http://www.wikidata.org/entity/Q845930,Bergs kommun
2120002510,http://www.wikidata.org/entity/Q513421,Härjedalens kommun
2120002528,http://www.wikidata.org/entity/Q306789,Östersunds kommun
2120002536,http://www.wikidata.org/entity/Q514722,Nordmalings kommun
2120002544,http://www.wikidata.org/entity/Q504505,Vindelns kommun
2120002551,http://www.wikidata.org/entity/Q507670,Robertsfors kommun
2120002577,http://www.wikidata.org/entity/Q499415,Storumans kommun
2120002585,http://www.wikidata.org/entity/Q501463,Sorsele kommun
2120002601,http://www.wikidata.org/entity/Q515861,Vilhelmina kommun
2120002627,http://www.wikidata.org/entity/Q507709,Umeå kommun
2120002635,http://www.wikidata.org/entity/Q948462,Lycksele kommun
2120002643,http://www.wikidata.org/entity/Q430780,Skellefteå kommun
2120002650,http://www.wikidata.org/entity/Q499404,Arvidsjaurs kommun
2120002668,http://www.wikidata.org/entity/Q493855,Arjeplogs kommun
2120002676,http://www.wikidata.org/entity/Q512048,Jokkmokks kommun
2120002684,http://www.wikidata.org/entity/Q307569,Överkalix kommun
2120002692,http://www.wikidata.org/entity/Q117091,Kalix kommun
2120002700,http://www.wikidata.org/entity/Q307603,Övertorneå kommun
2120002718,http://www.wikidata.org/entity/Q186230,Pajala kommun
2120002726,http://www.wikidata.org/entity/Q493815,Gällivare kommun
2120002734,http://www.wikidata.org/entity/Q255025,Älvsbyns kommun
2120002742,http://www.wikidata.org/entity/Q177019,Luleå kommun
2120002759,http://www.wikidata.org/entity/Q507656,Piteå kommun
2120002767,http://www.wikidata.org/entity/Q509476,Bodens kommun
2120002775,http://www.wikidata.org/entity/Q510310,Haparanda kommun
2120002783,http://www.wikidata.org/entity/Q499474,Kiruna kommun
2120002791,http://www.wikidata.org/entity/Q271274,Åsele kommun
2120002809,http://www.wikidata.org/entity/Q132334,Dorotea kommun
2120002817,http://www.wikidata.org/entity/Q508108,Motala kommun
2120002825,http://www.wikidata.org/entity/Q515969,Vadstena kommun
2120002833,http://www.wikidata.org/entity/Q376003,Bjurholms kommun
